title,price,product_id,product_url,search_page_number,tech_specs.Standing screen display size,tech_specs.Screen Resolution,tech_specs.Max Screen Resolution,tech_specs.Processor,tech_specs.RAM,tech_specs.Memory Speed,tech_specs.Hard Drive,tech_specs.Graphics Coprocessor,tech_specs.Chipset Brand,tech_specs.Card Description,tech_specs.Graphics Card Ram Size,tech_specs.Wireless Type,tech_specs.Number of USB 2.0 Ports,tech_specs.Number of USB 3.0 Ports,tech_specs.Average Battery Life (in hours),additional_details.Brand,additional_details.Series,additional_details.Item model number,additional_details.Hardware Platform,additional_details.Operating System,additional_details.Item Weight,additional_details.Product Dimensions,additional_details.Item Dimensions  LxWxH,additional_details.Color,additional_details.Processor Brand,additional_details.Number of Processors,additional_details.Computer Memory Type,additional_details.Hard Drive Interface,additional_details.Hard Drive Rotational Speed,additional_details.Optical Drive Type,additional_details.Power Source,additional_details.Voltage,additional_details.Batteries,additional_details.Flash Memory Size
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",177.38,B0947BJ67M,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-3,1,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2400 MHz,64 GB Emmc,Intel UHD Graphics,Intel,Integrated,4 GB,"Bluetooth, 802.11a/b/g/n/ac",3,3,10 Hours,HP,14-dq0040nr,14-dq0040nr,PC,Windows 11 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Snowflake White,Intel,2,DDR4 SDRAM,eSATA,7200 RPM,No optical storage drive,Battery Powered,5 Volts,1 C batteries required. (included),
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",177.38,B0947BJ67M,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-3,1,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2400 MHz,64 GB Emmc,Intel UHD Graphics,Intel,Integrated,4 GB,"Bluetooth, 802.11a/b/g/n/ac",3,3,10 Hours,HP,14-dq0040nr,14-dq0040nr,PC,Windows 11 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Snowflake White,Intel,2,DDR4 SDRAM,eSATA,7200 RPM,No optical storage drive,Battery Powered,5 Volts,1 C batteries required. (included),
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",177.38,B0947BJ67M,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-3#customerReviews,1,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2400 MHz,64 GB Emmc,Intel UHD Graphics,Intel,Integrated,4 GB,"Bluetooth, 802.11a/b/g/n/ac",3,3,10 Hours,HP,14-dq0040nr,14-dq0040nr,PC,Windows 11 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Snowflake White,Intel,2,DDR4 SDRAM,eSATA,7200 RPM,No optical storage drive,Battery Powered,5 Volts,1 C batteries required. (included),
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",177.38,B0947BJ67M,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_3?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-3,1,14 Inches,1366 x 768 pixels,1366 x 768 Pixels,2.8 GHz celeron_n4020,4 GB DDR4,2400 MHz,64 GB Emmc,Intel UHD Graphics,Intel,Integrated,4 GB,"Bluetooth, 802.11a/b/g/n/ac",3,3,10 Hours,HP,14-dq0040nr,14-dq0040nr,PC,Windows 11 S,3.24 pounds,12.76 x 8.86 x 0.71 inches,12.76 x 8.86 x 0.71 inches,Snowflake White,Intel,2,DDR4 SDRAM,eSATA,7200 RPM,No optical storage drive,Battery Powered,5 Volts,1 C batteries required. (included),
"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",430.0,B0CWN27G3V,https://www.amazon.com/HP-Business-Microsoft-Lifetime-Touchscreen/dp/B0CWN27G3V/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-4,1,15.6 Inches,1366x768,1366 x 768 Pixels,1.2 GHz apple_ci3,16 GB DDR4,3200 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,,802.11ac,1,3,6 Hours,HP,15-DY5033DX,15-DY5033DX,PC,Windows 11 Pro,3.75 pounds,9.53 x 14.11 x 0.71 inches,9.53 x 14.11 x 0.71 inches,Silver,Intel,6,DDR4 SDRAM,PCIE x 4,,BD-R,,,1 Lithium Ion batteries required. (included),1 GB
"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",430.0,B0CWN27G3V,https://www.amazon.com/HP-Business-Microsoft-Lifetime-Touchscreen/dp/B0CWN27G3V/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-4,1,15.6 Inches,1366x768,1366 x 768 Pixels,1.2 GHz apple_ci3,16 GB DDR4,3200 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,,802.11ac,1,3,6 Hours,HP,15-DY5033DX,15-DY5033DX,PC,Windows 11 Pro,3.75 pounds,9.53 x 14.11 x 0.71 inches,9.53 x 14.11 x 0.71 inches,Silver,Intel,6,DDR4 SDRAM,PCIE x 4,,BD-R,,,1 Lithium Ion batteries required. (included),1 GB
"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",430.0,B0CWN27G3V,https://www.amazon.com/HP-Business-Microsoft-Lifetime-Touchscreen/dp/B0CWN27G3V/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-4#customerReviews,1,15.6 Inches,1366x768,1366 x 768 Pixels,1.2 GHz apple_ci3,16 GB DDR4,3200 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,,802.11ac,1,3,6 Hours,HP,15-DY5033DX,15-DY5033DX,PC,Windows 11 Pro,3.75 pounds,9.53 x 14.11 x 0.71 inches,9.53 x 14.11 x 0.71 inches,Silver,Intel,6,DDR4 SDRAM,PCIE x 4,,BD-R,,,1 Lithium Ion batteries required. (included),1 GB
"HP 15.6"" Business Laptop, Free Microsoft Office 2024 Lifetime License, Copilot AI Chat, HD Touchscreen Display, Intel 6-Core i3-1215U 4.4 GHz, 16GB RAM, 1TB SSD, Long Battery Life, Windows 11 Pro",430.0,B0CWN27G3V,https://www.amazon.com/HP-Business-Microsoft-Lifetime-Touchscreen/dp/B0CWN27G3V/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-4,1,15.6 Inches,1366x768,1366 x 768 Pixels,1.2 GHz apple_ci3,16 GB DDR4,3200 MHz,1 TB SSD,Intel UHD Graphics,Intel,Integrated,,802.11ac,1,3,6 Hours,HP,15-DY5033DX,15-DY5033DX,PC,Windows 11 Pro,3.75 pounds,9.53 x 14.11 x 0.71 inches,9.53 x 14.11 x 0.71 inches,Silver,Intel,6,DDR4 SDRAM,PCIE x 4,,BD-R,,,1 Lithium Ion batteries required. (included),1 GB
"ACEMAGIC 16.0-inch Gaming Laptop, 16GB DDR4 512GB SSD Laptop, Windows 11 Laptop with Intel 12th N97 Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",399.99,B0DY1HT8HK,https://www.amazon.com/ACEMAGIC-16-0-inch-Windows-Processor-Display/dp/B0DY1HT8HK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-5,1,16 Inches,,1920x1200 Pixels,3.6 GHz Intel_Mobile_CPU,DDR4,,512 GB M.2 2280 SSD,3.6 GHz Intel_Mobile_CPU,Intel,Integrated,16 GB,,1,2,,ACEMAGIC,AX16,AX16,,Windows 11,5.27 pounds,14.05 x 8.97 x 0.66 inches,14.05 x 8.97 x 0.66 inches,Sliver Gray,Intel,4,DDR4 SDRAM,Serial ATA-600,,/,,,1 Lithium Ion batteries required.,
"ACEMAGIC 16.0-inch Gaming Laptop, 16GB DDR4 512GB SSD Laptop, Windows 11 Laptop with Intel 12th N97 Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life",399.99,B0DY1HT8HK,https://www.amazon.com/ACEMAGIC-16-0-inch-Windows-Processor-Display/dp/B0DY1HT8HK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HN4IUDdOW_t5xiVQSahNvTwWnkDPqDAd0FE0eXdcBttQc_aQr2e2p6Int2LVMqpMORZuUbpW-nJWLJbaxd2RX0ygvr0mKd2LuA32mnm1UZFk1FaVgUYJgkSh1OG1MyOsy51ZQe6B5E0-KK_RfFbgE6nhkIEZNF-iEJ7BH9CuU_oER2OtNjD7uSg2ZrcjYPBAnU29PugC8CAlUJ0Hux1Yyl0qOVfd02CrMXjH2wrQydA.XJ9uQdJ1e3AqTPMCDNosExz212dEgSKNyJ1bNMO9daU&dib_tag=se&keywords=laptops&qid=1742386562&sr=8-5,1,16 Inches,,1920x1200 Pixels,3.6 GHz Intel_Mobile_CPU,DDR4,,512 GB M.2 2280 SSD,3.6 GHz Intel_Mobile_CPU,Intel,Integrated,16 GB,,1,2,,ACEMAGIC,AX16,AX16,,Windows 11,5.27 pounds,14.05 x 8.97 x 0.66 inches,14.05 x 8.97 x 0.66 inches,Sliver Gray,Intel,4,DDR4 SDRAM,Serial ATA-600,,/,,,1 Lithium Ion batteries required.,
